,NCT Number,Title,Interventions,Phases,Official Title
556,NCT00140595,acvbp plus rituximab versus chop plus rituximab in patient with diffus larg bcell lymphoma and ageadjust ipi of 1,"['rituximab', 'doxorubicin', 'cyclophosphamide']",['3'],random studi of acvbp plus rituximab versus chop plus rituximab in patient age from 18 to 59 year with diffus larg bcell lymphoma and a ageadjust ipi of 1
557,NCT00169130,acvbp follow by asct in patient with bcl2 posit diffus larg bcell lymphoma,"['doxorubicin', 'cyclophosphamide']","['2', '3']",prospect studi of acvbp follow by autolog stem cell transplant in case of bcl2 overexpress in non previous treat patient age 60 year or less with lowintermedi risk diffus larg bcell lymphoma
561,NCT00308087,comparison studi of rituximab plus sargramostim to rituximab alon for relaps follicular bcell lymphoma a form of nonhodgkin lymphoma,"['sargramostim ', 'rituximab']",['2'],randomized open label phase ii trial compar rituximab plus sargramostim to rituximab monotherapi for the treatment of relaps follicular bcell lymphoma
562,NCT00268853,a trial in patient with diffus largebcel lymphoma compar pixantron against doxorubicin,"['cpop-r', 'chop-r']",['2'],cyclophosphamide doxorubicin vincristine prednison plus rituximab chopr and cyclophosphamide pixantrone vincristine prednison plus rituximab cpopr in patient with diffus largebcel lymphoma a phase ii randomized multicenter compar trial
563,NCT00144755,rchop14 versus rchop21 and darbepoetin alpha in patient age 6080 year with diffus larg bcell lymphoma,['darbepoetin alfa'],['3'],intensifi chop plus rituximab rchop 14 versus chop plus rituximab rchop 21 and frontlineprophylact darbepoetin alfa treatment versus usual symptomat treatment of anemia in patient age 60 to 80 year with diffus larg bcell lymphoma
564,NCT00193505,ifosfamidecarboplatinetoposiderituxan follow by zevalin in relapsedrefractori intermedi grade bcell lymphoma,"['ifosfamide', 'carboplatin', 'etoposide', 'rituximab', '90y zevalin']",['2'],phase ii trial of ifosfamidecarboplatinetoposiderituxan follow by zevalin in the treatment of patient with relapsedrefractori intermedi grade bcell lymphoma
567,NCT00435916,studi of sgn40 in patient with relaps diffus larg bcell lymphoma,['sgn-40'],['2'],a phase ii studi of sgn40 antihucd40 mab in patient with relaps diffus larg bcell lymphoma dlbcl
571,NCT00324831,gmcsf with or without vaccin therapi after combin chemotherapi and rituximab as firstlin therapi in treat patient with stage ii stage iii or stage iv diffus larg bcell lymphoma,"['autologous immunoglobulin idiotype', 'cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'rituximab', 'sargramostim', 'vincristine']",['3'],phase iii doubleblind randomized placebocontrol trial of favid® idklh and gmcsf follow choprituximab as firstlin therapi in subject with highintermedi and highrisk diffus larg bcell lymphoma
572,NCT01239394,ofatumumab for initi system treatment of indol bcell lymphoma,['ofatumumab'],['2'],phase ii trial ofatumumab for initi system treatment of indol bcell lymphoma
574,NCT00457782,a phase i safety pk and pd studi of kw2478 in patient with multipl myeloma chronic lymphocyt leukaemia or bcell nonhodgkin lymphoma,['kw-2478'],['1'],a phase i openlabel doseescalation multicentr studi of kw2478 administ as a singl agent intraven in a consecut dose schedul in patient with relapsedrefractori multipl myeloma chronic lymphocyt leukaemia or bcell nonhodgkin lymphoma
575,NCT00070083,oblimersen rituximab cyclophosphamide doxorubicin vincristine and prednison in treat patient with stage ii stage iii or stage iv diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['1'],a phase i studi of g3139 antisens oligonucleotid oblimersen in combin with chop and rituximab in untreat advanc stage diffus larg b cell lymphoma
576,NCT02073097,carfilzomib rituximab and combin chemotherapi in treat patient with diffus larg bcell lymphoma,"['carfilzomib', 'cyclophosphamide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone']","['1', '2']",a phase iii studi of carfilzomib in combin with rchop crchop for patient with diffus larg bcell lymphoma
577,NCT00588094,dose augment rituximab and ice for pts with primari refractori and poor risk relaps aggress bcell nhl,"['rituximab', 'ifosfamide', 'carboplatin', 'vp']",['2'],a phase ii studi of dose augment rituximab and ice for patient with primari refractori and poor risk relaps aggress bcell nonhodgkin lymphoma undergo secondlin therapi prior to stem cell transplant
578,NCT01980628,studi of the bruton tyrosin kinas inhibitor in subject with relapsedrefractori margin zone lymphoma,['ibrutinib'],['2'],a multicenter openlabel phase 2 studi of the bruton tyrosin kinas btk inhibitor ibrutinib in subject with relapsedrefractori margin zone lymphoma
579,NCT02281279,rituximab romidepsin and lenalidomid in treat patient with recurr or refractori bcell nonhodgkin lymphoma,"['lenalidomide', 'romidepsin']","['1', '2']",a phase iii trial of romidepsin rituximab and lenalidomid r3 in relapsedrefractori b cell lymphoma includ transform follicular lymphoma
581,NCT01994850,a phase iii studi of brentuximab vedotin in combin with multiag chemotherapi as frontlin treatment in patient with cd30 posit primari mediastin larg bcell diffus larg bcell and grey zone lymphoma,['brentuximab vedotin'],"['1', '2']",a phase iii studi of brentuximab vedotin in combin with multiag chemotherapi as frontlin treatment in patient with cd30 posit primari mediastin larg bcell diffus larg bcell and grey zone lymphoma
582,NCT00764517,vorinostat cladribine and rituximab in treat patient with mantl cell lymphoma relaps chronic lymphocyt leukemia or relaps b cell nonhodgkin lymphoma,"['cladribine', 'vorinostat']",['2'],phase ii studi of vorinostat saha cladribine and rituximab scr in mantl cell lymphoma chronic lymphocyt leukemia and relaps b cell nonhodgkin lymphoma
583,NCT00796731,sar3419 administ week in patient with relapsedrefractori cd19posit bcell nonhodgkin lymphoma,['sar3419'],['1'],a doseescalation safeti and pharmacokinet studi of sar3419 administ as a singl agent by intraven infus onc week in patient with relapsedrefractori cd19posit bcell nonhodgkin lymphoma nhl
584,NCT01812005,alisertib with and without rituximab in treat patient with relaps or refractori bcell nonhodgkin lymphoma,['alisertib'],['2'],a phase ii studi of mln8237 alon and in combin with rituximab in patient with relaps or refractori bcell nonhodgkin lymphoma
585,NCT01193842,vorinostat and combin chemotherapi with rituximab in treat patient with hivrel diffus larg bcell nonhodgkin lymphoma or other aggress bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'etoposide', 'prednisone', 'vincristine sulfate', 'vorinostat']","['1', '2']",a sequenti phase irandom phase ii trial of vorinostat and riskadapt chemotherapi with rituximab in hivrel bcell nonhodgkin lymphoma
586,NCT00622388,ofatumumab in patient with relapsedprogress diffus larg bcell lymphoma dlbcl inelig for or relapseprogress after transplant,['ofatumumab'],['2'],an openlabel singlearm multicent phase 2 trial with ofatumumab in patient with relapsedprogress diffus larg bcell lymphoma dlbcl inelig for transplant or relapseprogress after autolog transplant
587,NCT00945724,safeti and feasibl studi of combin of state of art chemoimmunotherapy intens central nervous system prophylaxi and scrotal irradi to treat primari diffus larg bcell lymphoma of testi,"['rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisolone', 'liposomal cytarabine', 'methotrexate']",['2'],a phase ii studi of rchop with intens cns prophylaxi and scrotal irradi in patient with primari testicular diffus larg bcell lymphoma
588,NCT00783367,combin therapi use lenalidomid revlimid low dose dexamethason and rituximab for treatment of rituximabresistant nonaggress bcell lymphoma,"['lenalidomide-low dose dexamethasone', 'rituximab', 'lenalidomide', 'rituximab']",['2'],phase 2 trial of lenalidomid revlimiddexamethason  rituximab in recurr small bcell nonhodgkin lymphoma nhl resist to rituximab
589,NCT02220842,a safeti and pharmacolog studi of atezolizumab mpdl3280a administ with obinutuzumab or tazemetostat in particip with relapsedrefractori follicular lymphoma and diffus larg bcell lymphoma,"['atezolizumab', 'obinutuzumab', 'tazemetostat']",['1'],a phase ib studi of the safeti and pharmacolog of atezolizumab administ with obinutuzumab in patient with relapsedrefractori follicular lymphoma or atezolizumab administ with obinutuzumab or tazemetostat in patient with relapsedrefractori diffus larg bcell lymphoma
590,NCT00901615,lenalidomid and rchop in bcell lymphoma,"['lenalidomide', 'r']","['1', '2']",a phase ib studi of escal dose of revlimid in associ with rchop r2chop in the treatment of bcell lymphoma
593,NCT01889069,a studi to evalu safety efficaci and pharmacokinet of rituximab mabtherarituxan in particip with diffus larg b cell lymphoma dlbcl or follicular lymphoma fl,"['rituximab', 'cyclophosphamide', 'vincristine', 'doxorubicin', 'prednisone', 'bendamustine']",['3'],a singl arm multicentre phase iiib studi to evalu safety efficaci and pharmacokinet pk of subcutan sc rituximab administ dure induct phase or mainten in previous untreat patient with cd20 diffus larg b cell lymphoma dlbcl or follicular lymphoma fl
594,NCT01063439,bueam condit for autolog stem cell transplant asct to treat diffus larg b cell lymphoma dlcbl,"['busulfan', 'etoposide', 'cytarabine', 'melphalan']",['2'],busulfan etoposide cytarabin and melphalan bueam as a condit for autolog stem cell transplant in patient with diffus larg b cell lymphoma dlcbl previous treat with rituximab base regimen
595,NCT00290472,cci779 in treat patient with recurr or refractori bcell nonhodgkin lymphoma or chronic lymphocyt leukemia,['temsirolimus'],['2'],a phase ii studi of cci779 in bcell lymphoma and cll
596,NCT01539174,rituximab and combin chemotherapi in treat patient with previous untreat high or highintermediaterisk diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone']",['2'],a phase ii studi of rituximab intens dose with chop21 ridchop in patient with previous untreat high or highintermedi risk ipi 35 diffus larg bcell lymphoma dlbcl
597,NCT02729896,a studi evalu safeti and efficaci of obinutuzumab polatuzumab vedotin pola and atezolizumab atezo in particip with relaps or refractori follicular lymphoma fl and rituximab atezo and pola in particip with relaps or refractori diffus larg bcell lymphoma dlbcl,"['atezolizumab ', 'obinutuzumab', 'polatuzumab vedotin', 'rituximab']","['1', '2']",a phase ibii studi evalu the safeti and efficaci of obinutuzumab in combin with atezolizumab plus polatuzumab vedotin in patient with relaps or refractori follicular lymphoma and rituximab in combin with atezolizumab plus polatuzumab vedotin in patient with relaps or refractori diffus larg bcell lymphoma
599,NCT00288067,fenretinid and rituximab in treat patient with bcell nonhodgkin lymphoma,"['fenretinide', 'rituximab']","['1', '2']",a phase iii trial of fenretinid 4hpr  rituximab in patient with bcell lymphoma
600,NCT02706405,jcar014 and durvalumab in treat patient with relaps or refractori bcell nonhodgkin lymphoma,"['cyclophosphamide', 'fludarabine phosphate']",['1'],a phase 1b studi of jcar014 autolog t cell engin to express a cd19specif chimer antigen receptor in combin with durvalumab medi4736 for relapsedrefractori bcell nonhodgkin lymphoma
601,NCT00312845,studi of velcad and rituximab in patient with relaps or refractori bcell nonhodgkin lymphoma,"['bortezomib', 'rituximab', 'rituximab']",['3'],a randomized openlabel multicent studi of velcad with rituximab or rituximab alon in subject with relaps or refractory rituximab naiv or sensit follicular bcell nonhodgkin lymphoma
602,NCT01178645,studi of busulfan etoposide cytarabine and melphalan bueam condit for autolog stem cell transplant asct to treat b cell lymphoma except for diffus larg b cell lymphoma,"['busulfan', 'etoposide', 'cytarabine,', 'melphalan']",['2'],busulfan etoposide cytarabine and melphalan bueam as a condit for autolog stem cell transplant in patient with b cell lymphoma except for diffus larg b cell lymphoma
604,NCT00972478,vorinostat rituximab and combin chemotherapi in treat patient with newli diagnos stage ii stage iii or stage iv diffus larg bcell lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate', 'vorinostat']","['1', '2']",a phase iii trial of vorinostat saha nsc701852 in combin with rituximabchop in patient with newli diagnos advanc stage diffus larg bcell lymphoma dlbcl
606,NCT00042666,a studi of oral ly317615 in relaps or refractori diffus larg bcell lymphomas,['ly317615'],['2'],a phase 2 evalu of oral ly317615 in patient with relaps or refractori diffus larg bcell lymphoma
607,NCT00392496,sunitinib in treat patient with relaps or refractori diffus or mediastin larg bcell lymphoma,['sunitinib malate'],['2'],a phase ii studi of sunitinib su11248 nsc 736511 ind 74019 an oral multitarget tyrosin kinas inhibitor in patient with relaps or refractori diffus larg bcell lymphoma
608,NCT00712582,therapi for patient with untreat ageadjust intern prognost index lowintermedi risk highintermedi risk or high risk diffus larg b cell lymphoma,"['etoposide', 'carboplatin', 'ifosfamide', 'rituximab', 'ifosfamide', 'etoposide', 'carboplatin', 'rituximab', 'ifosfamide', 'etoposide', 'carboplatin', 'stem cell collection', 'mitoxantrone', 'cyclophosphamide', 'etoposide', 'carmustine']",['2'],riskadapt therapi for patient with untreat ageadjust intern prognost index lowintermedi risk highintermedi risk or high risk diffus larg b cell lymphoma
609,NCT00667615,trial of vorinostat in combin with cyclophosphamide etoposide prednison and rituximab for elder patient with relaps diffus larg bcell lymphoma dlbcl,"['rituximab', 'cyclophosphamide', 'etoposide', 'prednisone', 'vorinostat', 'qol questionnaire', 'peg']","['1', '2']",a multicent phase iii trial of vorinostat in combin with cyclophosphamide etoposide prednison and rituximab for elder patient with relaps diffus larg bcell lymphoma dlbcl
615,NCT00621452,genet engin lymphocytes cyclophosphamide and aldesleukin in treat patient with relaps or refractori mantl cell lymphoma or indol bcell nonhodgkin lymphoma,['cyclophosphamide'],['1'],a pilot studi to evalu the safeti and feasibl of cellular immunotherapi use genet modifi autolog cd20specif t cell for patient with relaps or refractori mantl cell and indol b cell lymphoma
616,NCT00532259,ct011 mab in dlbcl patient follow asct,['ct-011'],['2'],phase ii safeti and efficaci studi of the monoclon antibodi ct011 in patient with diffus larg bcell lymphoma follow autolog stem cell transplant
619,NCT01284192,studi of an investig drug asp3026 in patient with advanc malign solid tumor and bcell lymphoma,['asp3026'],['1'],a phase 1 multicenter openlabel dose escal studi of asp3026 in subject with advanc malign
622,NCT02611323,a studi of obinutuzumab rituximab polatuzumab vedotin and venetoclax in relaps or refractori follicular lymphoma fl or diffus larg bcell lymphoma dlbcl,"['obinutuzumab', 'rituximab', 'polatuzumab vedotin', 'venetoclax']",['1'],a phase ibii studi evalu the safeti and efficaci of obinutuzumab in combin with polatuzumab vedotin and venetoclax in patient with relaps or refractori follicular lymphoma and rituximab in combin with polatuzumab vedotin and venetoclax in patient with relaps or refractori diffus larg bcell lymphoma
623,NCT02413489,an efficaci and safeti proof of concept studi of daratumumab in relapsedrefractori mantl cell lymphoma diffus larg bcell lymphoma and follicular lymphoma,['daratumumab'],['2'],an open label phase 2 studi to evalu efficaci and safeti of daratumumab in relaps or refractori mantl cell lymphoma diffus larg bcell lymphoma and follicular lymphoma
624,NCT00703664,bortezomib and vorinostat in treat patient with recurr mantl cell lymphoma or recurr andor refractori diffus larg bcell lymphoma,"['bortezomib', 'vorinostat']",['2'],phase ii trial of bortezomib and vorinostat in mantl cell and diffus larg bcell lymphoma
626,NCT02624986,a studi of idasanutlin in combin with obinutuzumab in relapsedrefractori rr follicular lymphoma fl and in combin with rituximab in rr diffus larg bcell lymphoma dlbcl particip,"['idasanutlin', 'obinutuzumab', 'rituximab']","['1', '2']",a phase ibii studi evalu the safeti and efficaci of obinutuzumab in combin with idasanutlin in patient with relaps or refractori follicular lymphoma and obinutuzumab or rituximab in combin with idasanutlin in patient with relaps or refractori diffus larg bcell lymphoma
627,NCT00466531,treatment of relaps or chemotherapi refractori chronic lymphocyt leukemia or indol b cell lymphoma use autolog t cell genet target to the b cell specif antigen cd19,['cyclophosphamide'],"['1', '2']",a phase iiia trial for the treatment of relaps or chemotherapi refractori chronic lymphocyt leukemia or indol b cell lymphoma use autolog t cell genet target to the b cell specif antigen cd19
628,NCT02086175,a phase 2 clinic trial of rituxan and bglucan pgg in relaps indol nonhodgkin lymphoma,"['imprime pgg', 'rituximab']",['2'],a phase 2 clinic trial of rituxan and bglucan pgg in relaps indol nonhodgkin lymphoma
629,NCT00880867,intratumor polyiclc plus low dose local radiat in low grade recurr b and t cell lymphoma,['poly-iclc'],['1'],a phase i studi of intratumor polyiclc plus low dose local radiat in low grade recurr b and t cell lymphoma
630,NCT00294632,lenalidomid and rituximab in the treatment of relaps mantl cell lymphoma mcl and diffus larg bcell lymphoma,"['lenalidomide', 'rituximab']","['1', '2']",lenalidomid and rituximab treatment of relaps mantl cell lymphoma and diffus larg bcell nonhodgkin lymphoma transform larg cell lymphoma andor grade 3 follicular lymphoma follicular cleav larg cell lymphoma or follicular noncleav larg cell lymphoma rvlympi0056
632,NCT00210366,salvag therapi with idarubicin in relaps cns lymphoma,['idarubicin'],['2'],salvag therapi with idarubicin in immunocompet patient with relaps or refractori primari central nervous system lymphoma
633,NCT00210314,phase ii trial of combin modal treatment in primari central nervous system lymphoma,"['high dose methotrexate', 'high dose cytarabine']",['2'],random phase ii trial on primari chemotherapi with highdos methotrexate alon or associ with highdos cytarabine follow by response and agetailor radiotherapi for immunocompet patient with newli diagnos primari central nervous system lymphoma
634,NCT00907348,prospect multicent dose find phase ii pilot trial to evalu efficaci and safeti of lrchop21 for elder patient with untreat diffus larg b cell lymphoma,['lr-chop21'],['2'],prospect multicent dose find phase ii pilot trial to evalu efficaci and safeti of treatment with lenalidomid plus rchop21 lrchop21 for elder patient with untreat diffus larg b cell lymphoma dlbcl
635,NCT00329030,rituxan vs bexxar when combin with carmustine etoposide cytarabin and melphalan beam with autolog hematopoiet stem cell transplant bmt ctn 0401,"['autologous transplantation using rituxan', 'autologous transplantation using bexxar']",['3'],phase iii rituxanbeam vs bexxarbeam with autolog hematopoiet stem cell transplant asct for persist or relaps chemotherapi sensit diffus larg bcell nonhodgkin lymphoma bmt ctn 0401
636,NCT01118845,studi of syb l0501 in combin with rituximab to treat relapsedrefractori diffus larg bcell lymphoma,"['syb l', 'rituximab']",['2'],a multinational multicenter openlabel phase ii studi of syb l0501 in combin with rituximab in patient with relapsedrefractori diffus larg bcell lymphoma
637,NCT01300793,studi of standarddos rituximab ifosfamide carboplatin and etoposid,['velcade '],['1'],rice plus bortezomib velcade in a doseescal fashion for patient with relaps or primari refractori aggress bcell nhl
639,NCT02082977,a studi to investig the safety pharmacokinetics pharmacodynam and clinic activ of gsk2816126 in subject with relapsedrefractori diffus larg b cell lymphoma transform follicular lymphoma other nonhodgkin lymphomas solid tumor and multipl myeloma,['gsk2816126'],['1'],a phase i openlabel dose escal studi to investig the safety pharmacokinetics pharmacodynam and clinic activ of gsk2816126 in subject with relapsedrefractori diffus larg b cell lymphoma transform follicular lymphoma other nonhodgkin lymphomas solid tumor and multipl myeloma
640,NCT02623920,brentuximab vedotin bendamustine and rituximab in patient with relaps or refractori bcell nonhodgkin lymphoma,"['brentuximab', 'bendamustine', 'rituximab']",['2'],phase ii studi of brentuximab vedotin in combin with bendamustin and rituximab in patient with cd30 positive relaps or refractori b cell nonhodgkin lymphoma nhl
641,NCT02405676,bnhl2015 for children or adolesc in china,"['prednisone,vincristine', 'cyclophosphamide', 'cyclophosphamide', 'vincristine', 'cytarabine', 'doxorubincin', 'prednisone', 'ifosphamide', 'etoposide', 'methotrexate', 'vincristine', 'prednisone', 'cyclophosphamide', 'vindelsine', 'cytarabine', 'doxorubincin', 'prednisone', 'ifosphamide', 'etoposide', 'methotrexate', 'vindelsine', 'prednisone', 'rituximab']","['2', '3']",treatment regimen or children or adolesc with matur bcell nhl or bal in china
643,NCT00968760,cd19specif t cell infus in patient with blineag lymphoid malign,"['il-2', 'carmustine', 'etoposide', 'cytarabine', 'melphalan']",['1'],cd19specif t cell infus in patient with blineag lymphoid malign
646,NCT01078922,patient with relaps or refractori diffus larg b cell non hodgkin lymphoma,['ofatumumab'],['2'],a phase ii openlabel studi of singl agent ofatumumab in patient with relaps andor refractori diffus larg b cell non hodgkin lymphoma
648,NCT00225212,rituximab after autolog stem cell transplant for relaps bcell nonhodgkin lymphoma,['rituximab 375 mg'],['2'],clinic trial of c2b8 monoclon antibodi follow high dose therapi and autograft in bcell nonhodgkin lymphoma
649,NCT00482053,phase 2 poor risk dlbcl of tli and atg follow by match allogen ht as consolid to autolog hct,"['rituximab', 'carmustine', 'etoposide', 'filgrastim', 'anti-thymocyte globulin ', 'cyclosporine', 'mycophenolate mofetil ', 'cyclophosphamide', 'acetaminophen', 'diphenhydramine', 'hydrocortisone', 'methylprednisolone']",['2'],a phase 2 studi in poor risk diffus larg bcell lymphoma of total lymphoid irradi  antithymocyt globulin follow by match allogen hematopoiet transplant as consolid to autolog hematopoiet cell transplant
654,NCT01122472,studi of lenalidomid mainten versus placebo in respond elder patient with dlbcl and treat with rchop,"['lenalidomide', 'placebo']",['3'],doubl blind random phase iii studi of lenalidomid mainten versus placebo in respond elder patient with dlbcl and treat with rchop in first line
655,NCT01030900,phase ii trial of alemtuzumab campath and doseadjust epochrituximab daepochr in relaps or refractori diffus larg bcell and hodgkin lymphoma,['epoch'],['2'],phase ii trial of alemtuzumab campath and doseadjust epochrituximab daepochr in relaps or refractori diffus larg bcell and hodgkin lymphoma
656,NCT02168907,cpi613 bendamustin hydrochloride and rituximab in treat patient with relaps or refractori bcell nonhodgkin lymphoma,['bendamustine hydrochloride'],['1'],phase i doseescal studi of cpi613 in combin with bendamustin and rituximab in patient with relaps or refractori bcell nonhodgkin lymphoma
659,NCT02367040,copanlisib and rituximab in relaps indol bcell nonhodgkin lymphoma inhl,"['copanlisib ', 'placebo', 'rituximab']",['3'],a phase iii randomized doubleblind placebocontrol studi evalu the efficaci and safeti of copanlisib in combin with rituximab in patient with relaps indol bcell nonhodgkin lymphoma inhl  chronos3
660,NCT01680991,a studi of obinutuzumab in chines particip with cd20 malign diseas,['obinutuzumab'],['1'],a multicenter open label singl arm multipl dose studi to assess the pharmacokinet of ro5072759 in chines patient with cd20 malign diseas
662,NCT01955499,lenalidomid and ibrutinib in treat patient with relaps or refractori bcell nonhodgkin lymphoma,"['ibrutinib', 'lenalidomide']",['1'],a phase i studi of ibrutinib pci32765 in combin with lenalidomid in relaps and refractori bcell nonhodgkin lymphoma
668,NCT01055496,studi evalu chemotherapi in combin with inotuzumab ozogamicin in subject with nonhodgkin lymphoma,"['inotuzumab ozogamicin+rituximab +cyclophosphamide+vincristine+prednisone', 'inotuzumab ozogamicin+rituximab+gemcitabine+cisplatinum+dexamethasone']",['1'],an openlabel phase 1 studi of rcvp or rgdp in combin with inotuzumab ozogamicin in subject with cd22posit nonhodgkin lymphoma
669,NCT01045928,lenalidomid and rituximab as mainten therapi in treat patient with bcell nonhodgkin lymphoma,['lenalidomide'],['1'],phase iii trial of mainten therapi with lenalidomid and rituximab follow highdos chemotherapi and autolog stem cell transplant for bcell nonhodgkin lymphoma
674,NCT00336843,zevalin plus bucy highdos therapi in bcell nonhodgkin lymphoma,['zevalin-bucye'],['2'],combin 90yibritumomab tiuxetan with highdos chemotherapi of bucy and autolog stem cell transplant in patient with bcell nonhodgkin lymphoma  an openlabel phase ii studi
676,NCT00061425,treatment of nonhodgkin lymphoma with 90yhll2 igg,['radiolabeled epratuzumab'],"['1', '2']",phase iii radioimmunotherapi of nonhodgkin lymphoma with radiolabel human immunoll2 treatment with 90yhll2 igg
677,NCT00542919,a studi for patient with nonhodgkin lymphoma,['enzastaurin'],['2'],a multicenter openlabel noncompar studi of enzastaurin in patient with nonhodgkin lymphoma
678,NCT00210379,phase ii studi of combin modal treatment in primari testicular nonhodgkin lymphoma,"['rituximab', 'chop', 'intrathecal methotrexate']",['2'],a phase ii studi of chop  rituximab with intrathec methotrex follow by radiotherapi in patient with primari testicular nonhodgkin lymphoma
680,NCT02106091,safeti studi to assess afm11 in patient with relaps andor refractori cd19 posit bcell nhl,['afm11'],['1'],a pharmacodynamicallyguided doseescalation phase i studi to assess the safeti of afm11 recombin antibodi construct against human cd19 and cd3 in patient with relaps andor refractori cd19 posit bcell nhl
684,NCT01647971,studi of the efficaci and safeti of ublituximab in patient with relaps or refractori bcell nonhodgkin lymphoma,['ublituximab'],"['1', '2']",an open label phase iii studi of the efficaci and safeti of ublituximab in patient with bcell nonhodgkin lymphoma who have relaps or are refractori after cd20 direct antibodi therapi
688,NCT00081861,avastin plus rituximab for patient with bcell nonhodgkin lymphoma,"['avastin', 'rituximab']",['2'],a phase ii studi of avastin plus rituximab for patient with relaps and chemotherapy or rituxanrefractori aggress bcell nonhodgkin lymphoma
693,NCT02401048,a multicent studi of ibrutinib in combin with medi4736 in subject with relaps or refractori lymphoma,"['ibrutinib', 'medi4736']","['1', '2']",a multicent openlabel studi of the bruton tyrosin kinas btk inhibitor ibrutinib in combin with medi4736 in subject with relaps or refractori lymphoma
694,NCT00397800,rituximab fludarabine cyclophosphamide and yttrium y 90 ibritumomab tiuxetan in treat patient with relaps bcell nonhodgkin lymphoma,"['cyclophosphamide', 'fludarabine phosphate']","['1', '2']",safeti and efficaci of sequenti treatment with a combin of rituximab fludarabin and cyclophosphamid follow by zevalin rituximab and yibritumomab tiuxetan  a phase iii studi for treatment of patient with relaps indol and transform cd20posit bcell nonhodgkinslymphoma inelig for highdos chemoradiotherapi support by autolog peripher blood stemcel
698,NCT02703272,a safeti and efficaci studi of ibrutinib in pediatr and young adult particip with relaps or refractori matur bcell nonhodgkin lymphoma,"['ibrutinib', 'rituximab', 'ifosfamide', 'carboplatin', 'etoposide', 'vincristine', 'idarubicin', 'dexamethasone']",['3'],a randomized openlabel safeti and efficaci studi of ibrutinib in pediatr and young adult patient with relaps or refractori matur bcell nonhodgkin lymphoma
700,NCT00210340,a phase i studi of intrathec rituximab in patient with lymphomat mening,['intrathecal rituximab'],['1'],a phase i studi of intrathec rituximab in patient with lymphomat mening
704,NCT01491841,iit cti bendamustine rituximab pixantron in relapsedrefractori b cell nonhodgkin lymphoma,"['bendamustine', 'rituximab', 'pixantrone']","['1', '2']",phase iii studi of the combin of bendamustine rituximab and pixantron in patient with relapsedrefractori b cell nonhodgkin lymphoma
705,NCT02453087,a studi of escal dose of dcds0780a in particip with relaps or refractori bcell nonhodgkin lymphoma,"['dcds0780a', 'rituximab', 'obinutuzumab']",['1'],an openlabel multicenter phase 11b dose escal studi evalu the pharmacokinetics safety tolerability and preliminari efficaci of dcds0780a alon or in combin with rituximab or obinutuzumab in patient with relapsedrefractori bcell nonhodgkin lymphoma
706,NCT00863369,bortezomib and gemcitabin in treat patient with relaps bcell nonhodgkin lymphoma,"['bortezomib', 'gemcitabine hydrochloride']","['1', '2']",a phase iii studi of velcad in combin with gemcitabin in relaps bcell nonhodgkin lymphoma
707,NCT02109224,ibrutinib in treat relaps or refractori bcell nonhodgkin lymphoma in patient with hiv infect,['ibrutinib'],['1'],phase i and pharmacokinet studi of ibrutinib in hivinfect patient with relaps or refractori bcell nonhodgkin lymphoma or multipl myeloma
709,NCT01760226,dose adjust epochr to treat matur b cell malign,"['da-epoch', 'methotrexate', 'etoposide', 'doxorubicin', 'vincristine', 'rituximab', 'cyclophosphamide', 'prednisone', 'g-csf']",['1'],use of dose adjust epochr in the treatment of childhood matur b cell malign
710,NCT02568683,safeti and efficaci of entospletinib ento gs9973 combin with vincristin vcr in adult particip with relaps or refractori bcell nonhodgkin lymphoma nhl,"['ento', 'vcr']","['1', '2']",a phase 1b2 openlabel dose escal and expans studi evalu the safeti and efficaci of entospletinib ento gs9973 combin with vincristin vcr in adult subject with relaps or refractori bcell nonhodgkin lymphoma nhl
711,NCT00809341,rice and highdos cyclophosphamid with petct for diffus larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone', 'ifosfamide', 'carboplatin', 'etoposide', 'high-dose cyclophosphamide']",['2'],treatment intensif with rice and highdos cyclophosphamid for diffus larg bcell nonhodgkin lymphoma base on earli 18f fdgpet scan
712,NCT00290498,studi of rituximabhcvad altern with rituximabmethotrexatecytarabin versus standard rituximabchop everi 21 day for patient with newli diagnos high risk aggress bcell nonhodgkin lymphoma in patient 60 year old or younger,"['rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'dexamethasone', 'methotrexate', 'cytarabine', 'prednisone']",['2'],a phase ii random studi of rituximabhcvad altern with rituximabmethotrexatecytarabin versus standard rituximabchop everi 21 day for patient with newli diagnos high risk aggress bcell nonhodgkin lymphoma in patient 60 year old or younger
