"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
535,"NCT01926665","Carfilzomib Consolidation Therapy After Autologous Stem Cell Transplantation (ASCT) for Mantle Cell Lymphoma (MCL), T-cell Lymphoma (TCL), and Diffuse Large B-Cell Lymphoma (DLBCL)",,"Completed","No Results Available","Drug: Carfilzomib|Drug: Dexamethasone","Phase 1","null","https://ClinicalTrials.gov/show/NCT01926665"
536,"NCT01351935","Escalating Dose Study in Subjects With Relapsed or Refractory B Cell Non-Hodgkin Lymphoma, Chronic Lymphocytic Leukemia, and Waldenstrom's Macroglobulinemia",,"Completed","No Results Available","Drug: AVL-292","Phase 1","null","https://ClinicalTrials.gov/show/NCT01351935"
537,"NCT02920697","Dose-escalation Study of Oral Administration of S 55746 in Patients With Chronic Lymphocytic Leukaemia and B-Cell Non-Hodgkin Lymphoma",,"Active, not recruiting","No Results Available","Drug: S 55746","Phase 1","null","https://ClinicalTrials.gov/show/NCT02920697"
538,"NCT02038933","Study of Nivolumab in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL) That Have Either Failed or Are Not Eligible for Autologous Stem Cell Transplant (CheckMate 139)",,"Active, not recruiting","Has Results","Drug: Nivolumab","Phase 2","May 30, 2017","https://ClinicalTrials.gov/show/NCT02038933"
539,"NCT00156013","Clofarabine for Relapsed or Refractory T-Cell or B-Cell Non-Hodgkin Lymphoma (NHL)",,"Completed","Has Results","Drug: CLOFARABINE","Phase 1|Phase 2","July 9, 2012","https://ClinicalTrials.gov/show/NCT00156013"
540,"NCT01014208","Ofatumumab Versus Rituximab Salvage Chemoimmunotherapy Followed by Autologous Stem Cell Transplant in Relapsed or Refractory Diffuse Large B Cell Lymphoma","ORCHARRD","Completed","Has Results","Drug: OFATUMUMAB + DHAP|Drug: RITUXIMAB + DHAP","Phase 3","October 16, 2014","https://ClinicalTrials.gov/show/NCT01014208"
541,"NCT00136591","A Phase 2 Study of Velcade™ in Subjects With Relapsed or Refractory Follicular B-Cell Lymphoma",,"Terminated","No Results Available","Drug: Bortezomib","Phase 2","null","https://ClinicalTrials.gov/show/NCT00136591"
542,"NCT00644124","Aflibercept and Standard Chemotherapy (R-CHOP) in First Line of Non Hodgkin B-cell Lymphoma",,"Completed","No Results Available","Drug: aflibercept","Phase 1","null","https://ClinicalTrials.gov/show/NCT00644124"
543,"NCT02128945","Dosimetry and Biodistribution of [18F]-Fludarabine in Lymphoid Malignancies","FLUDATEP","Completed","No Results Available","Other: [18F] - Fludarabine PET/CT","Phase 1","null","https://ClinicalTrials.gov/show/NCT02128945"
544,"NCT00445341","Flavopiridol to Treat Relapsed Mantle Cell Lymphoma or Diffuse Large B-Cell Lymphoma",,"Completed","Has Results","Drug: Flavopiridol","Phase 1|Phase 2","October 5, 2012","https://ClinicalTrials.gov/show/NCT00445341"
545,"NCT01555541","Study of Intensive Consolidation and Stem Cell Mobilization Therapy Followed by Autologous Stem Cell Transplantation in High-risk Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma",,"Recruiting","No Results Available","Drug: Ofatumumab|Drug: Etoposide|Drug: Cytarabine","Phase 2","null","https://ClinicalTrials.gov/show/NCT01555541"
546,"NCT00135499","R-ACVBP Versus R-CHOP in Patients Aged 60-65 With Diffuse Large B-cell Lymphoma",,"Terminated","No Results Available","Drug: Rituximab|Drug: Doxorubicin|Drug: Cyclophosphamide|Drug: Vindesine|Drug: Bleomycin|Drug: Prednisone|Drug: Vincristine","Phase 3","null","https://ClinicalTrials.gov/show/NCT00135499"
547,"NCT00140660","ACVBP Versus ACVBP Plus Rituximab in Low Risk Localized Diffuse Large B-cell Lymphoma",,"Terminated","No Results Available","Drug: rituximab","Phase 3","null","https://ClinicalTrials.gov/show/NCT00140660"
548,"NCT00971763","Gemcitabine Hydrochloride, Cyclophosphamide, Vincristine Sulfate, Prednisolone, and Rituximab in Treating Patients With Newly Diagnosed Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Biological: rituximab|Drug: cyclophosphamide|Drug: gemcitabine hydrochloride|Drug: prednisolone|Drug: vincristine sulfate","Phase 2","null","https://ClinicalTrials.gov/show/NCT00971763"
549,"NCT00950755","Study of Iodine 131 Anti B1 Antibody for 1st or 2nd Relapsed Indolent B-Cell Lymphomas or B-Cell Lymphomas That Have Transformed to a More Aggressive Histology",,"Completed","Has Results","Biological: tositumomab and Iodine I 131 tositumomab (anti-B1 antibody)","Phase 2","August 29, 2012","https://ClinicalTrials.gov/show/NCT00950755"
550,"NCT00829205","Se-Methyl-Seleno-L-Cysteine, Rituximab, Ifosfamide, Carboplatin, and Etoposide in Treating Patients With Diffuse Large B-Cell Lymphoma That Has Relapsed or Not Responded to Treatment",,"Withdrawn","No Results Available","Biological: filgrastim|Biological: rituximab|Dietary Supplement: Se-methyl-seleno-L-cysteine|Drug: carboplatin|Drug: etoposide|Drug: ifosfamide|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00829205"
551,"NCT00144807","ACVBP Plus Rituximab in Patients Aged From 18 to 59 Years With High-risk Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","Drug: rituximab|Drug: doxorubicin|Drug: cyclophosphamide|Procedure: autologous stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00144807"
552,"NCT01410630","FLT-PET/CT vs FDG-PET/CT for Therapy Monitoring of Diffuse Large B-cell Lymphoma",,"Suspended","No Results Available","Diagnostic Test: FLT-PET/CT|Diagnostic Test: FDG-PET/CT|Drug: FLT","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01410630"
553,"NCT00066508","Bortezomib in Treating Patients With Diffuse Large B-Cell Lymphoma That Is Refractory To Chemotherapy",,"Completed","No Results Available","Drug: bortezomib","Phase 2","null","https://ClinicalTrials.gov/show/NCT00066508"
554,"NCT00137995","R-ICE Versus R-DHAP in Patients Aged 18-65 With Relapse Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","Drug: Rituximab|Drug: Etoposide|Drug: Carboplatine|Drug: Ifosfamide + Mesna|Drug: Cisplatine|Drug: Cytosine Arabinoside|Drug: Dexamethasone|Procedure: Autologous Stem Cell Transplantation|Drug: BCNU|Drug: Cytarabine|Drug: Melphalan","Phase 3","null","https://ClinicalTrials.gov/show/NCT00137995"
555,"NCT00301821","Monoclonal Antibody Therapy and Combination Chemotherapy in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",,"Completed","Has Results","Biological: epratuzumab|Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: prednisone|Drug: vincristine sulfate","Phase 2","March 24, 2015","https://ClinicalTrials.gov/show/NCT00301821"
556,"NCT00898157","Study of Biomarkers Using Tissue Samples From Older Patients With Diffuse Large B-Cell Lymphoma Treated With Combination Chemotherapy With or Without Rituximab on Clinical Trial ECOG-E4494",,"Completed","No Results Available","Other: laboratory biomarker analysis","","null","https://ClinicalTrials.gov/show/NCT00898157"
557,"NCT00140595","ACVBP Plus Rituximab Versus CHOP Plus Rituximab in Patients With Diffuse Large B-cell Lymphoma and Age-adjusted IPI of 1",,"Completed","No Results Available","Drug: rituximab|Drug: doxorubicin|Drug: cyclophosphamide","Phase 3","null","https://ClinicalTrials.gov/show/NCT00140595"
558,"NCT00169130","ACVBP Followed by ASCT in Patients With BCL-2 Positive Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Drug: doxorubicin|Drug: cyclophosphamide|Procedure: Autologous stem cell transplantation","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT00169130"
559,"NCT02631044","Study Evaluating the Safety and Pharmacokinetics of JCAR017 in B-cell Non-Hodgkin Lymphoma (TRANSCEND-NHL-001)",,"Recruiting","No Results Available","Biological: JCAR017 (lisocabtagene maraleucel) single-dose schedule|Biological: JCAR017 (lisocabtagene maraleucel) 2-dose schedule","Phase 1","null","https://ClinicalTrials.gov/show/NCT02631044"
560,"NCT01224821","Dosimetry/Validation Study of 131Iodine-Anti B1 (Murine) Radioimmunotherapy for Chemotherapy Refractory Low Grade B Cell Lymphomas and Low Grade Lymphomas That Have Transformed to Higher Grade Histologies","RIT-II-001","Completed","Has Results","Biological: Tositumomab (Anti-B1 Antibody) and Iodine-131 Tositumomab","Phase 2","April 17, 2012","https://ClinicalTrials.gov/show/NCT01224821"
561,"NCT02840110","Long-Term Follow-Up Study of Subjects Treated With ACTR T Cell Product",,"Enrolling by invitation","No Results Available","Other: ACTR T Cell Product","","null","https://ClinicalTrials.gov/show/NCT02840110"
562,"NCT00308087","Comparison Study of Rituximab Plus Sargramostim to Rituximab Alone for Relapsed Follicular B-cell Lymphoma, a Form of Non-Hodgkin's Lymphoma","PREMIER","Terminated","Has Results","Drug: Sargramostim (Leukine)|Drug: Rituximab","Phase 2","August 30, 2010","https://ClinicalTrials.gov/show/NCT00308087"
563,"NCT00268853","A Trial in Patients With Diffuse Large-B-cell Lymphoma Comparing Pixantrone Against Doxorubicin","RAPID","Completed","No Results Available","Drug: CPOP-R|Drug: CHOP-R","Phase 2","null","https://ClinicalTrials.gov/show/NCT00268853"
564,"NCT00144755","R-CHOP-14 Versus R-CHOP-21 and Darbepoetin Alpha in Patients Aged 60-80 Years With Diffuse Large B-cell Lymphoma",,"Completed","No Results Available","Drug: Darbepoetin alfa","Phase 3","null","https://ClinicalTrials.gov/show/NCT00144755"
565,"NCT00193505","Ifosfamide/Carboplatin/Etoposide/Rituxan Followed by Zevalin in Relapsed/Refractory Intermediate Grade B-Cell Lymphoma",,"Completed","No Results Available","Drug: Ifosfamide|Drug: Carboplatin|Drug: Etoposide|Drug: Rituximab|Drug: 90Y Zevalin","Phase 2","null","https://ClinicalTrials.gov/show/NCT00193505"
566,"NCT00544219","PET Scans in Patients With Diffuse Large B-Cell Lymphoma Receiving Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone",,"Completed","No Results Available","Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: prednisone|Drug: vincristine sulfate|Procedure: positron emission tomography","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00544219"
567,"NCT03410004","Chidamide for Patients With Relapse or Refractory Diffuse Large B-Cell Lymphoma and Follicular Lymphoma",,"Not yet recruiting","No Results Available","Drug: Chidamide","Phase 2","null","https://ClinicalTrials.gov/show/NCT03410004"
568,"NCT00435916","Study of SGN-40 in Patients With Relapsed Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Drug: SGN-40","Phase 2","null","https://ClinicalTrials.gov/show/NCT00435916"
569,"NCT00307177","Trivalent Baculovirus-expressed Influenza HA Vaccine in Adults With Non-Hodgkin's B-cell Lymphoma",,"Completed","No Results Available","Biological: Trivalent inactivated influenza vaccine|Biological: Trivalent Baculovirus-expressed Influenza HA vaccine","Phase 2","null","https://ClinicalTrials.gov/show/NCT00307177"
570,"NCT02030834","Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas",,"Active, not recruiting","No Results Available","Biological: CART-19","Phase 2","null","https://ClinicalTrials.gov/show/NCT02030834"
571,"NCT03685344","Safety and Antitumor Activity Study of Loncastuximab Tesirine and Durvalumab in Diffuse Large B-Cell, Mantle Cell, or Follicular Lymphoma",,"Not yet recruiting","No Results Available","Drug: Loncastuximab Tesirine and Durvalumab","Phase 1","null","https://ClinicalTrials.gov/show/NCT03685344"
572,"NCT00324831","GM-CSF With or Without Vaccine Therapy After Combination Chemotherapy and Rituximab as First-Line Therapy in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",,"Suspended","No Results Available","Drug: autologous immunoglobulin idiotype-KLH conjugate vaccine|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: prednisone|Drug: rituximab|Drug: sargramostim|Drug: vincristine|Procedure: Intervention/procedure|Procedure: antibody therapy|Procedure: biological therapy|Procedure: chemotherapy|Procedure: colony-stimulating factor therapy|Procedure: cytokine therapy|Procedure: monoclonal antibody therapy|Procedure: non-specific immune-modulator therapy|Procedure: therapeutic procedure|Procedure: tumor cell derivative vaccine|Procedure: vaccine therapy","Phase 3","null","https://ClinicalTrials.gov/show/NCT00324831"
573,"NCT01239394","Ofatumumab for Initial Systemic Treatment of Indolent B-cell Lymphoma",,"Completed","Has Results","Drug: ofatumumab","Phase 2","March 17, 2017","https://ClinicalTrials.gov/show/NCT01239394"
574,"NCT03153462","Axicabtagene Ciloleucel Expanded Access Study","ZUMA-9","Available","No Results Available","Biological: Axicabtagene Ciloleucel","","null","https://ClinicalTrials.gov/show/NCT03153462"
575,"NCT00457782","A Phase I Safety, PK and PD Study of KW-2478 in Patients With Multiple Myeloma, Chronic Lymphocytic Leukaemia or B-cell Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: KW-2478","Phase 1","null","https://ClinicalTrials.gov/show/NCT00457782"
576,"NCT00070083","Oblimersen, Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",,"Completed","No Results Available","Biological: oblimersen sodium|Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: prednisone|Drug: vincristine sulfate","Phase 1","null","https://ClinicalTrials.gov/show/NCT00070083"
577,"NCT02073097","Carfilzomib, Rituximab, and Combination Chemotherapy in Treating Patients With Diffuse Large B-Cell Lymphoma",,"Recruiting","No Results Available","Drug: carfilzomib|Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: vincristine sulfate|Drug: prednisone","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02073097"
578,"NCT00588094","Dose Augmented Rituximab and ICE for Pts With Primary Refractory and Poor Risk Relapsed Aggressive B-Cell NHL",,"Completed","Has Results","Drug: Rituximab, Ifosfamide, Carboplatin, VP-16, Mesna, G-CSF, Stem Cell Transplant","Phase 2","December 4, 2015","https://ClinicalTrials.gov/show/NCT00588094"
579,"NCT01980628","Study of the Bruton's Tyrosine Kinase Inhibitor in Subjects With Relapsed/Refractory Marginal Zone Lymphoma",,"Completed","Has Results","Drug: ibrutinib","Phase 2","February 10, 2017","https://ClinicalTrials.gov/show/NCT01980628"
580,"NCT02281279","Rituximab, Romidepsin, and Lenalidomide in Treating Patients With Recurrent or Refractory B-cell Non-Hodgkin Lymphoma",,"Withdrawn","No Results Available","Biological: rituximab|Drug: lenalidomide|Drug: romidepsin|Other: laboratory biomarker analysis","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02281279"
581,"NCT03135262","A Study of Obinutuzumab in Combination With Idasanutlin and Venetoclax in Participants With Relapsed or Refractory (R/R) Follicular Lymphoma (FL) or Rituximab in Combination With Idasanutlin and Venetoclax in Participants With R/R Diffuse Large B-Cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: Idasanutlin|Drug: Obinutuzumab|Drug: Venetoclax|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03135262"
582,"NCT01994850","A Phase I/II Study Of Brentuximab Vedotin In Combination With Multi-Agent Chemotherapy As Front-Line Treatment In Patients With CD30 Positive Primary Mediastinal Large B-Cell, Diffuse Large B-Cell, And Grey Zone Lymphomas",,"Active, not recruiting","No Results Available","Drug: brentuximab vedotin","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01994850"
583,"NCT00764517","Vorinostat, Cladribine, and Rituximab in Treating Patients With Mantle Cell Lymphoma, Relapsed Chronic Lymphocytic Leukemia, or Relapsed B Cell Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: Cladribine|Other: Laboratory Biomarker Analysis|Biological: Rituximab|Drug: Vorinostat","Phase 2","November 13, 2017","https://ClinicalTrials.gov/show/NCT00764517"
584,"NCT00796731","SAR3419 Administered Weekly in Patients With Relapsed/Refractory CD19-positive B-cell Non-Hodgkin's Lymphoma",,"Completed","No Results Available","Drug: SAR3419","Phase 1","null","https://ClinicalTrials.gov/show/NCT00796731"
585,"NCT01812005","Alisertib With and Without Rituximab in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin Lymphoma",,"Terminated","Has Results","Drug: alisertib|Biological: rituximab|Other: laboratory biomarker analysis","Phase 2","June 5, 2018","https://ClinicalTrials.gov/show/NCT01812005"
586,"NCT01193842","Vorinostat and Combination Chemotherapy With Rituximab in Treating Patients With HIV-Related Diffuse Large B-Cell Non-Hodgkin Lymphoma or Other Aggressive B-Cell Lymphomas",,"Active, not recruiting","Has Results","Drug: Cyclophosphamide|Drug: Doxorubicin Hydrochloride|Drug: Etoposide|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Prednisone|Biological: Rituximab|Drug: Vincristine Sulfate|Drug: Vorinostat","Phase 1|Phase 2","June 12, 2018","https://ClinicalTrials.gov/show/NCT01193842"
587,"NCT00622388","Ofatumumab in Patients With Relapsed/Progressive Diffused Large B-Cell Lymphoma (DLBCL) Ineligible for or Relapse/Progression After Transplant",,"Completed","Has Results","Drug: Ofatumumab","Phase 2","September 8, 2011","https://ClinicalTrials.gov/show/NCT00622388"
588,"NCT00945724","Safety and Feasibility Study of Combination of State of Art Chemoimmunotherapy, Intensive Central Nervous System Prophylaxis and Scrotal Irradiation to Treat Primary Diffuse Large B-cell Lymphoma of Testis","IELSG30","Recruiting","No Results Available","Drug: Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, Prednisolone, liposomal cytarabine, methotrexate","Phase 2","null","https://ClinicalTrials.gov/show/NCT00945724"
589,"NCT00783367","Combination Therapy Using Lenalidomide (Revlimid)- Low Dose Dexamethasone and Rituximab for Treatment of Rituximab-Resistant, Non-Aggressive B-Cell Lymphomas",,"Active, not recruiting","No Results Available","Drug: lenalidomide-low dose dexamethasone plus rituximab|Drug: Lenalidomide + Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00783367"
590,"NCT02220842","A Safety and Pharmacology Study of Atezolizumab (MPDL3280A) Administered With Obinutuzumab or Tazemetostat in Participants With Relapsed/Refractory Follicular Lymphoma and Diffuse Large B-cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Atezolizumab|Drug: Obinutuzumab|Drug: Tazemetostat","Phase 1","null","https://ClinicalTrials.gov/show/NCT02220842"
591,"NCT00901615","Lenalidomide and R-CHOP in B-cell Lymphoma","R2CHOP-1","Completed","No Results Available","Drug: Lenalidomide and R-CHOP","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00901615"
592,"NCT01004718","Detection and Quant of Differences in Hodgkin Lymphoma and Diffuse Large B-cell Lymphoma Using Positron Emission Tomography/Computed Tomography (PET/CT)",,"Unknown status","No Results Available","Radiation: Fludeoxyglucose F18|Procedure: Computed Tomography|Procedure: Positron emission tomography","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01004718"
593,"NCT03132584","Cyclophosphamide and Alemtuzumab In Lymphoma",,"Recruiting","No Results Available","Drug: Cyclophosphamide|Drug: Alemtuzumab","Phase 1","null","https://ClinicalTrials.gov/show/NCT03132584"
594,"NCT01889069","A Study to Evaluate Safety, Efficacy and Pharmacokinetics of Rituximab (MabThera/Rituxan) in Participants With Diffuse Large B Cell Lymphoma (DLBCL) or Follicular Lymphoma (FL)",,"Active, not recruiting","No Results Available","Drug: Rituximab|Drug: Cyclophosphamide|Drug: Vincristine|Drug: Doxorubicin|Drug: Prednisone|Drug: Bendamustine","Phase 3","null","https://ClinicalTrials.gov/show/NCT01889069"
595,"NCT01063439","BuEAM Conditioning for Autologous Stem Cell Transplantation (ASCT) to Treat Diffuse Large B Cell Lymphoma (DLCBL)",,"Unknown status","No Results Available","Drug: Busulfan, Etoposide, Cytarabine, Melphalan","Phase 2","null","https://ClinicalTrials.gov/show/NCT01063439"
596,"NCT00290472","CCI-779 in Treating Patients With Recurrent or Refractory B-Cell Non-Hodgkin's Lymphoma or Chronic Lymphocytic Leukemia",,"Completed","Has Results","Drug: temsirolimus","Phase 2","February 11, 2014","https://ClinicalTrials.gov/show/NCT00290472"
597,"NCT01539174","Rituximab and Combination Chemotherapy in Treating Patients With Previously Untreated High- or High-Intermediate-Risk Diffuse Large B-Cell Lymphoma",,"Withdrawn","No Results Available","Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: vincristine sulfate|Drug: prednisone|Other: laboratory biomarker analysis|Other: pharmacological study","Phase 2","null","https://ClinicalTrials.gov/show/NCT01539174"
598,"NCT02729896","A Study Evaluating Safety and Efficacy of Obinutuzumab, Polatuzumab Vedotin (Pola), and Atezolizumab (Atezo) in Participants With Relapsed or Refractory Follicular Lymphoma (FL) and Rituximab, Atezo, and Pola in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Active, not recruiting","No Results Available","Drug: Atezolizumab [TECENTRIQ]|Drug: Obinutuzumab|Drug: Polatuzumab Vedotin|Drug: Rituximab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02729896"
599,"NCT02965157","Pilot Study of Anti-CD20-CAR-engineered T Cells in Patients With Chemotherapy Resistant or Refractory CD20+ Lymphoma",,"Unknown status","No Results Available","Biological: CART20","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02965157"
600,"NCT00288067","Fenretinide and Rituximab in Treating Patients With B-Cell Non-Hodgkin Lymphoma",,"Terminated","Has Results","Drug: fenretinide|Drug: rituximab","Phase 1|Phase 2","October 6, 2014","https://ClinicalTrials.gov/show/NCT00288067"
601,"NCT02706405","JCAR014 and Durvalumab in Treating Patients With Relapsed or Refractory B-cell Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","Biological: Autologous Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing CD4+/CD8+ Central Memory T-lymphocytes JCAR014|Drug: Cyclophosphamide|Biological: Durvalumab|Drug: Fludarabine Phosphate|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study","Phase 1","null","https://ClinicalTrials.gov/show/NCT02706405"
602,"NCT00312845","Study of VELCADE and Rituximab in Patients With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: Bortezomib + Rituximab|Drug: Rituximab","Phase 3","July 26, 2011","https://ClinicalTrials.gov/show/NCT00312845"
603,"NCT01178645","Study of Busulfan, Etoposide, Cytarabine, and Melphalan (BuEAM) Conditioning for Autologous Stem Cell Transplantation (ASCT) to Treat B Cell Lymphoma Except for Diffuse Large B Cell Lymphoma",,"Unknown status","No Results Available","Drug: Busulfan, etoposide, cytarabine, and melphalan","Phase 2","null","https://ClinicalTrials.gov/show/NCT01178645"
604,"NCT03586024","Phase I/II Study of Pembrolizumab in Patients With Relapsed or Refractory Extranodal NK/T- Cell Lymphoma (ENKTL), Nasal Type and EBV-associated Diffuse Large B Cell Lymphomas (EBV-DLBCL)",,"Recruiting","No Results Available","Drug: Pembrolizumab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03586024"
605,"NCT00972478","Vorinostat, Rituximab, and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",,"Active, not recruiting","Has Results","Drug: Cyclophosphamide|Drug: Doxorubicin Hydrochloride|Other: Laboratory Biomarker Analysis|Drug: Prednisone|Biological: Rituximab|Drug: Vincristine Sulfate|Drug: Vorinostat","Phase 1|Phase 2","October 31, 2016","https://ClinicalTrials.gov/show/NCT00972478"
606,"NCT00736450","Oblimersen Sodium and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage I, Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",,"Terminated","Has Results","Biological: oblimersen sodium|Biological: rituximab|Drug: cyclophosphamide|Drug: doxorubicin hydrochloride|Drug: vincristine sulfate|Drug: prednisone|Procedure: biopsy|Genetic: microarray analysis|Other: immunohistochemistry staining method|Genetic: gene expression analysis|Genetic: cytogenetic analysis","Not Applicable","August 31, 2018","https://ClinicalTrials.gov/show/NCT00736450"
607,"NCT00042666","A Study of Oral LY317615 in Relapsed or Refractory Diffuse Large B-Cell Lymphomas.",,"Completed","No Results Available","Drug: LY317615","Phase 2","null","https://ClinicalTrials.gov/show/NCT00042666"
608,"NCT00392496","Sunitinib in Treating Patients With Relapsed or Refractory Diffuse or Mediastinal Large B-Cell Lymphoma",,"Completed","Has Results","Drug: sunitinib malate","Phase 2","December 12, 2013","https://ClinicalTrials.gov/show/NCT00392496"
609,"NCT00712582","Therapy for Patients With Untreated Age-Adjusted International Prognostic Index Low-Intermediate Risk, High-Intermediate Risk, or High Risk Diffuse Large B Cell Lymphoma",,"Completed","No Results Available","Drug: Etoposide, carboplatin, ifosfamide|Drug: Rituximab, Ifosfamide, Etoposide, Carboplatin|Drug: Rituximab, Ifosfamide, Etoposide, Carboplatin, Stem Cell Collection, Mitoxantrone, Cyclophosphamide and etoposide, Carmustine","Phase 2","null","https://ClinicalTrials.gov/show/NCT00712582"
610,"NCT00667615","Trial of Vorinostat in Combination With Cyclophosphamide, Etoposide, Prednisone and Rituximab for Elderly Patients With Relapsed Diffuse Large B-Cell Lymphoma (DLBCL)",,"Completed","Has Results","Drug: rituximab, cyclophosphamide, etoposide, prednisone, vorinostat and QOL questionnaire, peg-filgrastim or filgrastim","Phase 1|Phase 2","November 7, 2017","https://ClinicalTrials.gov/show/NCT00667615"
611,"NCT02132624","CD19-targeting 3rd Generation CAR T Cells for Refractory B Cell Malignancy - a Phase I/IIa Trial.",,"Completed","No Results Available","Biological: Autologous 3rd generation CD19-targeting CAR T cells","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02132624"
612,"NCT03098355","Interleukin-2 Following 4SCAR19/22 T Cells Targeting Refractory and/or Recurrent B Cell Malignancies",,"Recruiting","No Results Available","Biological: 4SCAR19/22 T cells|Drug: Interleukin-2","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03098355"
613,"NCT03068416","CD19-targeting, 3rd Generation CAR T Cells for Refractory B Cells Malignancy",,"Recruiting","No Results Available","Biological: CAR T cells","Phase 2","null","https://ClinicalTrials.gov/show/NCT03068416"
614,"NCT02963038","CAR T Cells for Refractory B Cell Malignancy",,"Recruiting","No Results Available","Biological: Autologous CD19-targeting CAR T cells","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02963038"
615,"NCT02911142","Lenalidomide Combined With Modified DA-EPOCH and Rituximab (EPOCH-R2) in Primary Effusion Lymphoma or KSHV-associated Large Cell Lymphoma",,"Recruiting","No Results Available","Drug: Lenalidomide|Drug: Rituximab|Drug: Prednisone|Drug: Etopside|Drug: Doxorubicin|Drug: Vincristine|Drug: Cyclophosphamide","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02911142"
616,"NCT00621452","Genetically Engineered Lymphocytes, Cyclophosphamide, and Aldesleukin in Treating Patients With Relapsed or Refractory Mantle Cell Lymphoma or Indolent B-Cell Non-Hodgkin Lymphoma",,"Completed","No Results Available","Biological: therapeutic autologous lymphocytes|Drug: cyclophosphamide|Biological: aldesleukin|Genetic: polymerase chain reaction|Genetic: gene rearrangement analysis|Procedure: lymph node biopsy|Biological: genetically engineered lymphocyte therapy|Procedure: bone marrow aspiration|Other: flow cytometry|Other: laboratory biomarker analysis|Other: enzyme-linked immunosorbent assay","Phase 1","null","https://ClinicalTrials.gov/show/NCT00621452"
617,"NCT00532259","CT-011 MAb in DLBCL Patients Following ASCT",,"Completed","Has Results","Drug: CT-011","Phase 2","September 12, 2014","https://ClinicalTrials.gov/show/NCT00532259"
